9 января; Соединение оптимистичного Солнца и общительной Венеры. Это время вам стоит посвятить отдыху или общению. Вероятны интересные знакомства; возобновление старых деловых контактов и; возможно; головокружительная любовь. Во всех сферах жизни вам будет сопутствовать удача. Прекрасный аспект для выступлений и презентаций; так как позволяет отлично выглядеть и уверенно чувствовать себя на публике.;;;;;;;
12 января; Квадратура Марса с мастером иллюзий Нептуном. Внимательно следите за поведением окружающих: возможно; один из знакомых вас обманывает. Не принимайте скоропалительных решений и ограничьте прием горячительных напитков. Побудьте в это время наедине с собой. Если у вас масса рутинной работы; то часть её стоит отложить; так как аспект провоцирует хаотичную; лихорадочную деятельность; но даёт мало результата и много ошибок.;;;;;;
16 января; Соединение Солнца и властного Плутона. Этот аспект символизирует тайную власть. Вы будете обладать скрытой силой и при желании воздействовать на людей. Подходящее время для исполнения планов. Вам будет сопутствовать успех и; кажется; все окружающие прислушиваются к вашим словам. Вы сможете убедить самого несговорчивого начальника; доказать свою правоту в споре и добиться признания коллектива.;;;;;;;;
23 января; Соединение жизнелюбивого Солнца и непоседливого Меркурия. Возможно; вам захочется что-то поменять в своей жизни или отправиться в путешествие. Постарайтесь не упустить возможность повидать мир. Встречи со старыми друзьями и новые знакомства принесут выгоду; пускай и нематериальную. Творческим личностям этот аспект помогает формировать уникальный взгляд на мир; но если ваше дело связано с беспристрастным анализом информации или каких-либо событий; то вам будет не хватать объективности.;;;;;;;
14 января; Ретроградный Меркурий. Старайтесь закончить старые дела и отложите новые проекты. Ведите себя дипломатично и не поддавайтесь на провокации. Будьте осторожны за рулем. Самое время навестить старых друзей; заняться самоанализом; избавиться от вредных привычек.;;;;;;;;;
;;;;;;;;;;;;
1 февраля; Ретроградный Меркурий. Старайтесь закончить старые дела и отложите новые проекты. Ведите себя дипломатично и не поддавайтесь на провокации. Будьте осторожны за рулем. Самое время навестить старых друзей; заняться самоанализом; избавиться от вредных привычек.;;;;;;;;;
4 февраля; Соединение Солнца и организованного Сатурна. Этот аспект позволяет взять себя в руки; даёт самообладание. Ваши усилия увенчаются успехом. Это очень благоприятный момент для начинаний в профессиональной сфере и не только – любой проект; возникший сейчас; будет успешно реализован. Особенно если вы воспользуетесь помощью друзей и знакомых.;;;;;;;;
8 февраля;" Тригон агрессивного Марса и импульсивного Урана. Высокий и ""рваный"""; непредсказуемый ритм жизни в этот период может привести к стрессу. Занятия активными видами спорта помогут сбросить накопленный негатив и успокоить нервы. Старайтесь чаще отдыхать; релаксировать; бывать на природе и общаться с приятными людьми.;;;;;;;;
11 февраля; Соединение сообразительного Меркурия и таинственного Плутона. Это очень благоприятное время для обучения: знания будут усваиваться быстрее и дольше оставаться в памяти. В этот период вы сможете успешно доказывать свою точку зрения коллегам по работе – ваши аргументы будут признаны убедительными.;;;;;;;;;;;
18 февраля; Щедрый Юпитер в секстиле с независимым Ураном. Этот аспект в гороскопе повышает вашу независимость в мышлении и передвижении. Хорошее время для путешествий и учебы. Возможно повышение зарплаты или новая должность.;;;;;;;;;;;
;;;;;;;;;;;;
3 марта; Чувственная Венера в соединении с властным Плутоном. В этот период вы становитесь более чувствительным; усилится желание эмоциональной связи. Возможно интересное романтическое знакомство; перерастание дружбы или рабочих отношений в любовь. Это хороший момент; чтобы позаботиться о ком-то из близких; встречаться с друзьями или обсудить сложные вопросы с коллегами. Также очень успешное время для решения финансовых вопросов; но старайтесь не терять бдительности.;;;;;;
5 марта; Жизнелюбивое Солнце в соединении со щедрым Юпитером. Это соединение в гороскопе расширит ваши возможности; привлечет социальный успех и финансовый достаток. Будьте активнее; смело используйте это время для новых больших проектов и любых начинаний!;;;;;;;;;
13 марта; Солнце в соединении с мечтательным Нептуном. Этот аспект усиливает потребность в гармонии с собой и окружающим миром. Это период мира и покоя. Посвятите его отдыху; медитации; общению с природой и с самыми дорогими людьми.;;;;;;;;;
22 марта;Квадрат решительного Марса и взбалмошного Урана. Этот аспект в марте 2022 года усилит вашу индивидуальность и стремление к свободе самовыражения. Вас будут раздражать любые препятствия и ограничения. Некоторые события могут заставить вас понервничать. Старайтесь держать эмоции под контролем. Действуйте обдуманно.;;;;;;;;;;;
;;;;;;;;;;;;
5 апреля; Энергичный Марс в соединении с дисциплинированным Сатурном. Вас ожидает медленный; но уверенный прогресс в делах. Старайтесь контролировать себя и обращать меньше внимания на недостатки окружающих. Возможны контакты со старыми друзьями. В этот день вам не стоит рисковать; осторожность обеспечит стабильность и безопасность.;;;;;;;;;
12 апреля; Жизнелюбивый Юпитер в соединении с планетой фантазий Нептуном. Повышается потребность в новых впечатлениях. Прекрасное время для отдыха и развлечений. Новые начинания лучше отложить; сейчас вам сложно оценить риски будущего предприятия: слишком легко принять желаемое за действительное.;;;;;;;;;;
18 апреля; Интеллектуальный Меркурий в соединении с творческим Ураном. В это время в вашей голове могут рождаться новые идеи и озарения; творческие порывы; а в вашу жизнь - приходить неожиданные новости. Повышается импульсивность: старайтесь удержаться от необдуманных поступков. Чаще прислушивайтесь к своему внутреннему голосу.;;;;;;;;;
30 апреля; Частичное лунное затмение. Это затмение можно будет увидеть в Южной Америке и на островах Тихого океана. Явление приносит беспокойство и беспричинную тревогу. В это время наиболее подвержены негативным эмоциям и перепадам настроения будут представители знака Тельца.;;;;;;;;;;;
29 апреля; Ретроградный Плутон. Начало ретро-фазы – отличное время для отдыха или занятий медитацией. Займитесь переоценкой своих убеждений; освободитесь от ненужных идей и устаревших предрассудков.;;;;;;;;;;
1 мая; Ретроградный Плутон. Начало ретро-фазы – отличное время для отдыха или занятий медитацией. Займитесь переоценкой своих убеждений; освободитесь от ненужных идей и устаревших предрассудков.;;;;;;;;;;
;;;;;;;;;;;;
5 мая; Жизнерадостное Солнце в соединении с творческим Ураном. Это хороший период для работы в коллективе; отдыха в кругу друзей; новых знакомств. Вы сможете продемонстрировать свою уникальность и привлекать людей своими оригинальными взглядами на мир.;;;;;;;;;
15 мая;" Солнце в квадратуре со строгим Сатурном. Это время ""кармического возврата"". В этот день люди часто получают то"; что заслужили. Если какая-то возникшая проблема в этот период вдруг покажется вам неразрешимой; а ситуация – тупиковой; то будьте уверены: это ложное впечатление.;;;;;;;;
16 мая; Полное лунное затмение. Это явление можно будет наблюдать в Европе; Африке; Северной и Южной Америке. Затмение предрекает всем резкие перемены и неожиданности. Будьте осторожны в этот день; особенно в обращении с техникой и на дорогах.;;;;;;;;
18 мая; Отважный Марс в соединении с погруженным в себя Нептуном. В этот день не стоит связывать себя серьёзными обязательствами; хотя такое желание может возникнуть. Возможно; кто-то из близкого круга попытается вовлечь вас в сомнительные махинации. Отдыхайте; восстанавливайте силы; следите за душевным балансом.;;;;;;;
21 мая; Солнце в соединении со стремительным Меркурием. В этот день у вас может быть ощущение ускорения времени и событий; которые часто сменяют друг друга. Чтобы успеть всё; вам придется действовать быстро. Однако ни в коем случае не делайте поспешных выводов и категоричных высказываний – это может привести к конфликту.;;;;;;;;;
;;;;;;;;;;;;
12 июня; Любвеобильная Венера в соединении с непредсказуемым Ураном. В этот период возможна мгновенная симпатия; вспыхнувшая любовь с первого взгляда или неожиданная дружба. Старайтесь сохранить холодную голову в вихре эмоций. Ожидайте приятной финансовой прибыли.;;;;;;;;;;
29 июня; Жизнерадостное Солнце в квадратуре с амбициозным Юпитером. Дела в этот период обещают идти успешно; если только не торопить события. Этот аспект усиливает оптимизм и волю к победе; при этом желания и амбиции могут превышать ваши реальные возможности. Хорошо спланированные начинания обречены на успех; главное попытайтесь не увлекаться и не входить в азарт. И старайтесь не тратить больше; чем зарабатываете.;;;;;;;
5 июня; Ретроградный Сатурн. В начале ретро-фазы Сатурна не рекомендуется начинать любые проекты; иначе они могут затянуться. Также откажитесь в этот день от лишних и спонтанных трат; крупных покупок. Лучше всего сдалеть паузу; отдохнуть и обдумать происходящее.;;;;;;;;
3 июля; Ретроградный Сатурн. В начале ретро-фазы Сатурна не рекомендуется начинать любые проекты; иначе они могут затянуться. Также откажитесь в этот день от лишних и спонтанных трат; крупных покупок. Лучше всего сдалеть паузу; отдохнуть и обдумать происходящее.;;;;;;;;
28 июня;Ретроградный Нептун. Вплоть до 1 июля не отказывайтесь от ранее принятых решений; придерживайтесь старых планов. Не занимайтесь самокопанием; а действуйте. Проверяйте и перепроверяйте любую новую информацию. Будьте осторожны; особенно на воде.;;;;;;;;
1 июля;Ретроградный Нептун. Вплоть до 1 июля не отказывайтесь от ранее принятых решений; придерживайтесь старых планов. Не занимайтесь самокопанием; а действуйте. Проверяйте и перепроверяйте любую новую информацию. Будьте осторожны; особенно на воде.;;;;;;;;
;;;;;;;;;;;;
2 июля; Ловкий Меркурий в тригоне с дисциплинированным Сатурном. Этот аспект будет двигать вашу карьеру и ускорять все рабочие процессы. Постарайтесь потратить это время с пользой. Также это очень удачное время для отказа от вредных привычек и начала борьбы с любыми недостатками. Будьте оптимистом и оставьте позади ошибки прошлого.;;;;;;;;;;;
18 июля; Интеллектуальный Меркурий в оппозиции к властному Плутону. Это отличное время для учебы; исследований и размышлений. Однако старайтесь не попадаться на глаза начальству; есть вероятность недоразумений или конфликта с вышестоящими лицами. Займитесь планированием будущего.;;;;;;;;;
20 июля; Солнце в оппозиции к властному Плутону. В этот период старайтесь работать в команде и держите под контролем собственные амбиции. Под действием этого аспекта гороскопа усилится ваше упрямство; стремление спорить и убеждать окружающих в своей правоте. Чтобы избежать конфликтов; стоит быть дипломатичнее.;;;;;;;;;
28 июля;Ретроградный Юпитер. Вплоть до 1 августа постарайтесь избегать любых крупных трат и манипуляций с деньгами (вложений; покупки акций). Будьте осторожны в путешествиях. Это благоприятное время для завершения начатого; обучения или смены деятельности.;;;;;;;;;
1 августа;Ретроградный Юпитер. Вплоть до 1 августа постарайтесь избегать любых крупных трат и манипуляций с деньгами (вложений; покупки акций). Будьте осторожны в путешествиях. Это благоприятное время для завершения начатого; обучения или смены деятельности.;;;;;;;;;
;;;;;;;;;;;;
11 августа; Жизнерадостное Солнце в квадратуре с революционным Ураном. Это аспект перемен. Под его влиянием возможна смена мировоззрения; характера; смена имиджа или стиля жизни. Приветствуются любые нестандартные решения!;;;;;;;;;
14 августа; Солнце в оппозиции к трудолюбивому Сатурну. Это период активной трудовой деятельности; когда вам необходимо закончить начатое или выполнить ранее взятые на себя обязательства. Приготовьтесь к тому; что отношения с окружающими станут более напряженными. Постарайтесь выкроить время для примирения и согласия.;;;;;;;;;
18 августа; Легкомысленная Венера в тригоне с оптимистичным Юпитером. В этот период приветствуются развлечения и отдых; непринуждённое общение и флирт! Возможно получение очень выгодного предложения - будьте внимательны; чтобы его не упустить. Есть риск спонтанных крупных покупок; соблазн потратить много денег на развлечение; одежду; модный шопинг. Старайтесь держать себя в руках и не допускать излишних трат.;;;;;;
24 августа; Ретроградный Уран. Возможно; вам захочется в этот период что-то кардинально поменять в жизни. Весьма вероятны резкие перемены. В это время вы можете увидеть пророческий сон или пережить внезапное озарение.;;;;;;;;;;
1 сентября; Ретроградный Уран. Возможно; вам захочется в этот период что-то кардинально поменять в жизни. Весьма вероятны резкие перемены. В это время вы можете увидеть пророческий сон или пережить внезапное озарение.;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
3 сентября; тригон Сатурна и Венеры. Самое время укрепить отношения и уделить им больше времени. Попытайтесь подходить к делам рационально. Это способствует успеху в профессиональном плане.  ;;;;;;;;;;;
9 сентября; тригон Солнца и Плутона. Аспект дарит возможность продемонстрировать свои таланты. Но в определённых кругах. Это хорошая возможность решить давние рабочие проблемы. Например; с коллективом или руководством. ;;;;;;;;;;
16 сентября; квадрат Плутона и Меркурия. Коммуникация и конструктив могут немного тормозить. Так уж получается; что лучше отпустить контроль и не терять времени впустую. Может казаться; мол; у окружающих возникают скрытие мотивы по поводу вас; хотя на самом деле это не так.;;;;;;;
7 октября; квадрат Плутона и Меркурия. Коммуникация и конструктив могут немного тормозить. Так уж получается; что лучше отпустить контроль и не терять времени впустую. Может казаться; мол; у окружающих возникают скрытие мотивы по поводу вас; хотя на самом деле это не так. ;;;;;;;
19 сентября; тригон Марса и Сатурна. Планы и активная работа — то; что однозначно принесёт результат. Рабочие отношения сейчас будут развиваться хорошо и результативно. Также период благоприятный для физического труда. ;;;;;;;;;;
3 октября; тригон Марса и Сатурна. Планы и активная работа — то; что однозначно принесёт результат. Рабочие отношения сейчас будут развиваться хорошо и результативно. Также период благоприятный для физического труда. ;;;;;;;;;;
19 сентября; оппозиция Венеры к Урану. Вам понадобится терпение. Именно сейчас могут возникать противоречия; а поведение людей будет вовсе не таким; как вы ожидали. Будьте спокойнее; тогда период для вас пройдет легко и не конфликтно. ;;;;;;;;
;;;;;;;;;;;;
1 октября;ретроградный Меркурий в квадрате к Плутону. Зона напряжения Плутона началась с 1 сентября. Если в этот период не пустить планету в активную деятельность; то будет прорываться негативная энергия: агрессия; страхи; тревожность. Здесь крайне важно вовремя и эффективно снимать негатив. Если занимаетесь спортом; увеличьте нагрузки – должно помочь. Такое «темпераментное настроение может привести к серьезным конфликтам. Не стоит отдаваться порыву целиком. Эта неделя требует максимум внимания.;;;;;;;
11 октября; Сатурн заходит на прямое движение; а это значит;что с 3-19 октября; Сатурн займет статичное положение. Сам по себе; этот этап не так страшен. Важно просто понимать какой эффект он оказывает. Происходят всевозможные задержки; все тормозится. Поэтому возникает очень большое напряжение. Сама ситуация сильно напоминает котел с кипящей водой. Представьте себе; что будет если накрыть его крышкой. Месяц; требует от нас большой сдержанности. Если есть срочные дела; бумаги;- постарайтесь сделать все побыстрее - до 3 октября. Дальше все это может растянуться надолго.;;
18 октября; Юпитер поворачивает на прямое движение;так что с 13 до 23 октября он статичен. Как это отразится на нас? Будет ощущаться обострение самолюбия. Мнение станет на столько субъективным;что самое правильное – отложить все важные проекты на период после 25 октября;а лучше после 30-го.;;;;;;;;
18 октября;Меркурий развернется в прямое движение. С этого положение начнет улучшаться. После 19-го числа станет намного легче.;;;;;;;;;;;
14 октября; квадрат Марса с Плутоном. Резкость; импульсивность; агрессия. Повысится аварийность. Будет ощущаться повышенная конфликтность и нежелание уступать. Не пытайтесь переубедить человека;если он упрется. Все серьезные переговоры отодвиньте на после 25-го числа.;;;;;;;;
30 октября; Марс переходит в Скорпион. А это значит; что все мы станем более деятельными; более упрямыми и работоспособными. Можно будет сказать; что пик напряжения прошел; осталась только воля к победе.;;;;;;;
;;;;;;;;;;;;
5 ноября;Месяц начинается с довольно сложного новолуния 5 ноября в знаке Скорпиона. К светилам сделает оппозицию революционный бунтарь Уран; поэтому весь месяц стоит ожидать обострения темы борьбы с ограничениями и отстаивания своих прав. А в сам день новолуния при таком аспекте могут «выкрутасничать» бытовая техника и компьютеры; возникнуть проблемы с электричеством. Помните о технике безопасности;не перегружайте себя и будьте аккуратны за рулём (пик аварийности — 4-8 ноября!). Помните также; что вблизи новолуния понижены энергетический фон и иммунитет. Могут ощущаться усталость и упадок сил.;;;;;;;
4 ноября; Отлично;если вы до 4 ноября успеете закончить какие-то дела;начатые в предыдущем месяце. 5 ноября традиционно планируем дела на предстоящий лунный цикл. Всё; что вы запрограммируете в день новолуния; будет развиваться в течение следующего лунного месяца.;;;;;;;
22 ноября;Скорпион — знак мощных изменений и трансформаций. Солнце находится в Скорпионе до 22 ноября. А это значит; что трансформации в той или иной степени затронут каждого из нас. Подумайте; что бы вы хотели изменить в своей жизни? Какая её область нуждается в радикальной чистке? Отличная практика накануне новолуния в Скорпионе выкинуть из дома весь старый хлам; а ещё лучше сжечь его. Сразу почувствуете приток свежих сил и ощутите; как изменилось пространство вокруг вас. Также можно поступить и со старыми отжившими убеждениями. Выпишите на листок бумаги все убеждения; которые мешают вам жить; а потом сожгите.;;;;;
1 ноября; Самой сложной будет первая неделя ноября. Возможны профессиональные неурядицы; пробуксовка в делах; ощущение; что мир вставляет палки в колёса. Ситуации взрывного характера тоже не исключены. Крупные покупки; особенно компьютерной и бытовой техники; лучше отложить.;;;;;;
20 ноября;До 24 ноября в знаке Скорпиона находится также Меркурий — планета информации и коммуникаций. Будьте готовы к тому; что на свет вылезут старые тайны и попадают скелеты из шкафов. Если вы сами давно бьётесь над ответом на какую-то загадку; есть хорошие шансы наконец-то узнать правду. В этот период люди с большим скепсисом относятся к любой информации; в том числе и к рекламе. Учитывайте это при создании инфопродуктов.;;;;;;;;
5 ноября;5 ноября Венера; планета денег; любви и удовольствий; переходит в знак Козерога. Мы становимся более сухими; расчётливыми и рациональными; меньше склонны транжирить деньги. Но отношения; завязавшиеся в этот период; будут хоть и менее романтичными; зато более надёжными и прочными. Также при Венере в Козероге могут возникать служебные романы; причём один из партнёров окажется выше по статусу и положению. В этот период лучше копить деньги; а не тратить. Стоит подумать об инвестициях и удачном вложении средств.;
19 ноября;Ещё одно важное астрологическое событие ноября — лунное затмение 19 числа. Вплоть до 4 декабря; до солнечного затмения; мы вновь оказываемся в коридоре затмений. Напомню; в этот период происходят события из разряда фатальных; которые невозможно избежать. В любом случае они сформированы нашими предыдущими деяниями. Заработали себе хорошую карму — получите; распишитесь. Плохую — ну что ж; опыт — сын ошибок трудных. Данное затмение не сулит ничего особо страшного; так как происходит в целом на благоприятных аспектах. Оно может актуализировать для вас вопросы финансов; других ресурсов; затронуть темы «моё – чужое». Если видите возможности хорошо заработать и приумножить ресурсы; не отказывайтесь от них.;
19 ноября; в день затмения и полнолуния; будьте аккуратны; по возможности откажитесь от мест большого скопления людей и не ввязывайтесь в конфликты.;;;;;;;;;
22 ноября; Последняя неделя ноября;с 22 числа; когда Солнце перейдёт в знак Стрельца; будет более оптимистичной. Перед нами откроются новые горизонты; настроение улучшится; общение станет более свободным.;;;;;;
;;;;;;;;;;;;
4 декабря; Полное Солнечное Затмение; Новолуние. Это крайне напряженное время; когда могут происходить неблагоприятные события. Можно внезапно простыть; либо получить травму; поскользнувшись на льду. Потому — внимательность; внимательность и еще раз внимательность! Благоприятно не заниматься активным времяпрепровождением и выбирать для себя более спокойные занятия вроде отдыха или медитации. Дни; близкие к этой дате; подходят для размышлений; но не годятся для принятия важных решений.;;;
13 декабря; Марс входит в Стрельца. Очень динамичный период; подстегивающий и нас на активную деятельность. Приветствуется импульсивность; порывистость; решительность. Но она может стать не только методом решения проблем; но также и причиной проблем. Излишняя эмоциональность; склонность действовать на «горячую голову» не приведет к положительным результатам. Можно наломать дров; которые потом не пригодятся ни для одной печи. Как же найти правильный баланс? Небесные светила рекомендуют прислушиваться к голосу интуиции. Она далеко не всегда звучит достаточно разборчиво; а иногда и вовсе кажется; что вовсе молчит. Но все же Стрелец имеет склонность к некоторому мистицизму; и пробудить в себе интуитивное чутье в период его влияния — задача; которая вполне по силам каждому.;
19 декабря; Ретроградная Венера. Сейчас в жизнь многих из нас постараются постучаться старые романтические партнеры; ностальгия пробудит желания возвратить уже утраченные отношения; раскрыть тот потенциал этих союзов; который когда-то мы проморгали; прозевали и прохлопали ушами. Увы; это все — лишь иллюзорные представления. В одну реку не войдешь дважды. Уйдет ретроградная Венера — и все снова вернется в свое русло. Хуже всего придется тем; кто решит ради старой любви порвать свои нынешние отношения. С другой стороны; для кого-то это будет разумное решение. Пусть старый партнер и не задержится в отношениях; зато получится проверить крепость своих нынешних чувств. Неплохой повод идти дальше. Впрочем; немало текущих разрывов в отношениях тоже окажутся всего лишь эмоциональным порывом. Его последствия потребуется расхлебывать и; может; даже получится расхлебать.
21 декабря; Зимнее Солнцестояние; Солнце входит в Козерога. Богатая на события дата; в которую можно завершить старые дела и; в целом; обернуть ход любой ситуации в свою пользу. Этим полезно воспользоваться. Ведь подобный шанс выпадает не всегда. Активность Козерога обеспечивает результативность в первую очередь в профессиональных и творческих задачах; требующих усидчивости. Если перед вами долгое время стояла задача делать что-то долго; однообразно и качественно; сейчас самое время взяться за решение этой самой задачи.;;;;